Teff,logg,u,g,r,i,z
5000,6.5,-0.009377890252473264,0.037839340670231536,0.0029618137686000523,-0.010778970476629013,-0.005242488167837678
5000,6.75,-0.01004455436937235,0.03827243783356238,0.0029584832800324534,-0.010755104346152677,-0.005318201407384038
5000,7.0,-0.010777311010187418,0.03873821845743919,0.002953798492775661,-0.010729084788614784,-0.005373566666570184
5000,7.25,-0.011485866661516297,0.0392240389587073,0.0029474510900868722,-0.010704599088192879,-0.0054173560778849605
5000,7.5,-0.012116221507874059,0.03972772081483811,0.002939795585184868,-0.010680754632396372,-0.005453965169621711
5000,7.75,-0.012687143188657046,0.04024982871739269,0.002931352139626142,-0.010658241125710788,-0.005488069733246448
5000,8.0,-0.013206161684472306,0.040798266089431934,0.0029217851247196336,-0.010636572961438162,-0.005524954880897326
5000,8.25,-0.0137563995256329,0.041376150059356576,0.002911280438510744,-0.010617223132442177,-0.005565017378138748
5000,8.5,-0.014307070544006706,0.041987085239043154,0.0029003453812634916,-0.01060054884569439,-0.005613027463923004
5000,8.75,-0.014834748938532982,0.04262821363738567,0.002891052073607625,-0.010584723289092324,-0.0056696545421175415
5000,9.0,-0.015334334690408014,0.0432934095100066,0.0028852655803959237,-0.010570553824557294,-0.005737932931992873
5000,9.25,-0.01579285045594503,0.04398128685489411,0.0028838838753841856,-0.01055404191172471,-0.005818793229813934
5000,9.5,-0.01621626823094857,0.04468625709174745,0.0028858210143596352,-0.010532784434673204,-0.005913791611227737
5250,6.5,-0.006471552649735202,0.0328768289357626,0.0024212594906174445,-0.008698386897386001,-0.005587949812948523
5250,6.75,-0.006780787168970903,0.03321470717161645,0.0024183865638320867,-0.008668253767517342,-0.005718606606755827
5250,7.0,-0.0072321931087628855,0.03360632340650227,0.0024180677707335008,-0.008647016016816167,-0.005819240698535566
5250,7.25,-0.007836338425661893,0.03402890991565499,0.0024147041734892127,-0.008621049283128457,-0.005895975199130987
5250,7.5,-0.008454753394019576,0.034470636786771536,0.0024088004811986252,-0.008595202213520281,-0.0059547842375380355
5250,7.75,-0.009083848535631489,0.0349255178749317,0.0024016830370143794,-0.008568945338311096,-0.006002496830618043
5250,8.0,-0.009662207422316271,0.03539211250605945,0.0023940548406997664,-0.008543705100528598,-0.006044309764803302
5250,8.25,-0.010183810420329564,0.03587271478252063,0.0023848536016970456,-0.00852298621522607,-0.006086886183858553
5250,8.5,-0.010644478302808125,0.03636732995060754,0.0023750562627213867,-0.008505637917565423,-0.006133118094105328
5250,8.75,-0.011040447943514664,0.0368776689994732,0.0023644253691514905,-0.008492464317633619,-0.006187071908009045
5250,9.0,-0.011398013996597456,0.037405057061064895,0.0023556863837157493,-0.008481392333266058,-0.006250743560642036
5250,9.25,-0.011746478425962437,0.03794541061726875,0.0023508636185738396,-0.008474181083222732,-0.00632490491548765
5250,9.5,-0.012041072620682769,0.03849760036226968,0.002351090653135657,-0.00846728678080666,-0.0064102200706557255
5500,6.5,-0.004984038457948259,0.028728561996082647,0.0019526898590669362,-0.006833995754867317,-0.005849291396160083
5500,6.75,-0.005049595300093301,0.02904146893716586,0.0019571581675350558,-0.006819670588207316,-0.005963103035014683
5500,7.0,-0.005112405774653439,0.02929518250908103,0.001961636400537259,-0.006808324369451668,-0.006064365011013706
5500,7.25,-0.005376892559745272,0.029618590408674095,0.001957767868120186,-0.006791280326133631,-0.006146587401737236
5500,7.5,-0.005797608298749424,0.030001413297391366,0.0019455531380643265,-0.00673794805027228,-0.00625332732139583
5500,7.75,-0.006271452103419506,0.030402818750445704,0.0019400871194861224,-0.006700849421577004,-0.00633232886357149
5500,8.0,-0.0067846769737371915,0.030816890196000202,0.0019330657701104315,-0.006672735692831111,-0.006392440575751834
5500,8.25,-0.007306653508294403,0.03124320087911059,0.0019247643962501115,-0.006645921820265244,-0.006442469521722671
5500,8.5,-0.007815792553579115,0.031681514426622925,0.001915761311352071,-0.006622431422876218,-0.006489339235095315
5500,8.75,-0.008278060189049086,0.032131215457525286,0.0019052500279954643,-0.006605025492781635,-0.006537338767401479
5500,9.0,-0.008704142185614216,0.03259172541318378,0.0018948322361467262,-0.006593608127644757,-0.006592531599267204
5500,9.25,-0.009047456987723024,0.03306086571884492,0.0018857553575415409,-0.006587367910434239,-0.0066571484526889435
