Teff,logg,u,g,r,i,z,u_s,g_s,r_s,i_s,z_s
5500,7.0,-0.12148035560900183,0.018657322844461532,0.029744737676487887,0.005644154263379164,0.06454177520070203,-0.0886334385150036,-0.010002755729864532,0.011881087376799826,-0.0008147061513312792,0.06563614789701688
5500,7.25,-0.12641533571257924,0.018823085484342528,0.029660894711767583,0.00560733593912488,0.06413861374275598,-0.09215588875596126,-0.010161089628034858,0.01187139683877092,-0.0008163204098252663,0.06522875191981825
5500,7.5,-0.1326293000833445,0.01902744372628007,0.029584400330350036,0.005581431145898819,0.06378082550055097,-0.09658516767146352,-0.010346256272001142,0.011866770640430957,-0.0008120462952234675,0.06486596751838647
5500,7.75,-0.13912338113289024,0.019229723877266736,0.029532242503492512,0.005555154225604042,0.06341049117370545,-0.10120638028895712,-0.010556698609896387,0.011872469726348811,-0.0008097484509193009,0.06449132457234441
5500,8.0,-0.14534198845571922,0.019425358907113832,0.02947869147312332,0.00553126867644238,0.06308894096714823,-0.10562559294963592,-0.010791100512996366,0.011869928858075696,-0.0008091809059607158,0.06416588464804107
5500,8.25,-0.15100790794704722,0.01961735333437531,0.029427324432937496,0.005511790220587898,0.06281180769336459,-0.10964797488779254,-0.011045259331496027,0.011861591251033587,-0.0008079746857063697,0.06388540238496887
5500,8.5,-0.15594847126201472,0.019811059791692287,0.029380808098252942,0.005494167701684205,0.06255714822701464,-0.11315160268656399,-0.011311951275814636,0.011850253742245798,-0.0008070656395346987,0.06362756510946355
5500,8.75,-0.16018204938796998,0.020012320250771154,0.029339288952328957,0.0054758620033155125,0.0623068999793972,-0.11615004574554177,-0.011582861638558484,0.011836734781176972,-0.0008066176162913052,0.06337442759327416
5500,9.0,-0.16370538190003003,0.020225834745914995,0.029305251894015782,0.005454635674567498,0.062039617952876824,-0.1186453343177547,-0.011850566496001136,0.011825613764798959,-0.0008067578468029524,0.06310425192353364
5500,9.25,-0.16655396045475612,0.020453103271037776,0.029279682994619805,0.005430325351930776,0.06174839940775456,-0.1206616215198224,-0.012110212831252909,0.011820466999040491,-0.0008074819410879286,0.06281023808127628
5500,9.5,-0.1687678043758538,0.02069337554090822,0.029265823056512374,0.005399931484639353,0.06142269504744036,-0.12222837934355368,-0.012355901539450542,0.011825942819285729,-0.0008097414222021371,0.06248158697683692
5750,6.5,-0.0952550049526053,0.015924786651581258,0.025650633115191113,0.005791721827897334,0.06166545756629915,-0.06979403066323187,-0.008628905016529131,0.009852495711491827,-0.0006579154910824059,0.06266296669734572
5750,6.75,-0.0980227329181389,0.01611847296538116,0.025664872343057255,0.005740638890515015,0.06107399925405588,-0.0717869077897717,-0.008731002616272576,0.009909212797687417,-0.0006614228264183453,0.06206674840180426
5750,7.0,-0.10119920592595122,0.01629517933776725,0.02567197102530372,0.005693563540134505,0.06053025576720472,-0.07407230957296207,-0.008824269620234304,0.009959555834576861,-0.0006642351909178501,0.0615182566025112
5750,7.25,-0.10390504795494593,0.01644306656351091,0.02569025155180782,0.00565113682863938,0.06004047791331146,-0.07601157507142631,-0.00889575211985516,0.010011874622833261,-0.0006664159539084835,0.06102446796369776
5750,7.5,-0.10753852426798716,0.0166219932673215,0.02568561834952021,0.005614844786606454,0.05959352519250416,-0.07861555353790806,-0.009007862779547793,0.010048972321314409,-0.0006669091734963217,0.06057337865851764
5750,7.75,-0.11249285807483744,0.0167716503652926,0.025660873874919332,0.005583801522483611,0.05919513236286633,-0.082168992488441,-0.0091543198912305,0.01007085239141503,-0.0006675660500192748,0.06017064083792434
5750,8.0,-0.11843949339164794,0.016941332178610935,0.02553695907121778,0.00556131515474334,0.05886844092113819,-0.08642827266608322,-0.009333166263694181,0.010032113188984226,-0.0006655887707438524,0.05983935035339982
5750,8.25,-0.1244892973811389,0.017116081258180316,0.02544920100394421,0.005542319333756041,0.05854067406892938,-0.09075327675183331,-0.009539157408553933,0.010013078046540613,-0.000660716668200223,0.05950669358620786
5750,8.5,-0.13035019968300787,0.017281090149097622,0.025388040802383216,0.005522321511556072,0.05821534642799264,-0.09493708100337273,-0.009774296378374459,0.01000308123342819,-0.0006588551371251583,0.05917702915359513
5750,8.75,-0.13563516528154196,0.017442532228038488,0.025330478124253375,0.00550252542456775,0.05792143307155584,-0.09870362609266436,-0.010032982739097918,0.00998750756595257,-0.0006583730053577597,0.05887936037191821
5750,9.0,-0.1402549626894185,0.017607497837708763,0.025278809842504302,0.005484178486916846,0.05764382426307435,-0.10199320964610337,-0.010306501112303579,0.00996869032827874,-0.0006574885010266485,0.05859821812966004
5750,9.25,-0.14413704689267348,0.017784580501029268,0.025238811419292517,0.005463174680940597,0.057355930106034236,-0.10475535798745739,-0.010582275500233607,0.009950757475252203,-0.0006577787765493781,0.058307119770304894
5750,9.5,-0.14720547091658887,0.017976457985099614,0.02521109498519536,0.005437615492930092,0.057047504421113615,-0.10693706885054866,-0.010850542403254337,0.009940294467249089,-0.0006591642775291007,0.057995385425577695
6000,6.5,-0.08316288966921803,0.013917215210405232,0.022145691888752594,0.005840285917408039,0.05805052867971483,-0.061064553483511474,-0.007622884468993618,0.008187712561138483,-0.0005240294625110664,0.058950892512932285
6000,6.75,-0.08427717553696112,0.014045375575925334,0.02211113244993612,0.005802758553066667,0.05759765286196483,-0.06186204958647323,-0.0076885974582339145,0.008204547686133878,-0.000526413279011706,0.05849458815801256
6000,7.0,-0.08611378110874313,0.014226826833201756,0.022058557215309804,0.00576785704593874,0.05712645337258948,-0.06318425629395108,-0.007769071870519895,0.008217179200698865,-0.0005231587465104326,0.058018499148971614
6000,7.25,-0.08827804375270176,0.014390361238341143,0.022069572722990927,0.005725426806712619,0.056563945097337864,-0.06474328237659677,-0.007837414164328038,0.008268673372477053,-0.0005245777084894598,0.057451482579395474
6000,7.5,-0.09009541065345417,0.01452530492447579,0.022091071568993925,0.00568349228716869,0.05607948751117675,-0.06604750330674136,-0.007883824313417165,0.0083219986181291,-0.0005276654590105068,0.05696211683025609
6000,7.75,-0.09278743103718057,0.014689611961060223,0.022091604403399856,0.005646580760384268,0.055607069542176646,-0.06798301392339567,-0.007968415590561051,0.008362091184146436,-0.0005291323072498244,0.05648528735002856
6000,8.0,-0.09669723896844573,0.014854262186460687,0.02206633094990451,0.005615220687111844,0.05517572414869676,-0.07079829914794544,-0.008084720082123908,0.00838504316021016,-0.0005294632631134277,0.05604911822229042
6000,8.25,-0.10151057673888886,0.015002389969922092,0.022015436484792872,0.005590544896833194,0.05479547766451276,-0.0742635737792412,-0.00821991279619283,0.008389457485833418,-0.0005284535978091753,0.055663947556418236
6000,8.5,-0.10695583291872879,0.01512416442461273,0.021922266842025806,0.0055698210110222135,0.05445934448772505,-0.07817776575051028,-0.00839214893456841,0.008364512755143494,-0.0005275208570338918,0.05532314541146377
6000,8.75,-0.11252528593691835,0.015250594509502946,0.02179877367721872,0.0055549326266941534,0.05416701317318484,-0.08217521059562216,-0.008605574415170736,0.008316749470303364,-0.0005243312714640069,0.05502603403398609
6000,9.0,-0.11794790513057762,0.015382845227115638,0.021701941319108187,0.005542403873263879,0.05388841840777303,-0.08605997056353942,-0.00885128449532857,0.00827887381633019,-0.0005195781757407758,0.05474250024237648
6000,9.25,-0.12278558142470075,0.015513122814745373,0.021636898981441277,0.005522680118843937,0.05357585983492896,-0.08952053462466125,-0.00912458246649095,0.008252118213938786,-0.0005190988048582312,0.05442576314732861
6000,9.5,-0.12694726549176494,0.015653648848378054,0.021589638348345375,0.005501522702743955,0.05326181522595874,-0.09249398763559924,-0.009411366266640186,0.0082290313611324,-0.0005194022006307364,0.054107935197137635
6250,6.5,-0.0753955612651609,0.012197863485049254,0.018972170075436168,0.005884231321573452,0.054623207673117236,-0.05545804479734784,-0.006778383529670862,0.0066678745074923995,-0.0004017587285289892,0.05543319233105137
6250,6.75,-0.07515847081410953,0.012360500318052914,0.018914710406981783,0.005860061749771717,0.05431502309145486,-0.05527068812316571,-0.006825939042371942,0.006664900992355172,-0.00039871939239333187,0.05512143848173423
6250,7.0,-0.07556694180836132,0.012497417104619046,0.018946190273965158,0.005828573455310959,0.053862020568431035,-0.05555393742772452,-0.006852646005050644,0.006719797072364031,-0.00039855433984570254,0.0546643527601276
6250,7.25,-0.0767460671953657,0.012594514682056968,0.018949118524055564,0.00579278352108048,0.05340702048923163,-0.05639843754790519,-0.006899776072273767,0.006757016145904515,-0.0004017646007667963,0.054205695646018626
6250,7.5,-0.07813518189805535,0.012750256387803915,0.01883822836777682,0.005770273553757477,0.05303650504551882,-0.05739535809031082,-0.0069418310954887374,0.006730197329311238,-0.000396041276914616,0.05382969457834008
6250,7.75,-0.07927879182797426,0.012877241553574947,0.018858125746319843,0.00572984574255031,0.05252486259806943,-0.05821375164130416,-0.0069668748726243734,0.006782710118166335,-0.0003987906372771022,0.05331329992392142
6250,8.0,-0.08123572619951602,0.013029229182272672,0.018857351500116692,0.005693961931903857,0.05204126377098106,-0.059623022253141755,-0.007027233637842301,0.006821570458015458,-0.00040053051236554893,0.05282492132825212
6250,8.25,-0.08424471043760917,0.013178154088173244,0.018830979101188916,0.005663491393619324,0.051594337956977654,-0.06179610940552038,-0.00711319565612456,0.006843939168689417,-0.0004012535665722794,0.05237296581226758
6250,8.5,-0.08813491894035508,0.013312789958249027,0.018774650760029488,0.005638054353305222,0.051196040880114424,-0.06460657552232618,-0.007222753968342488,0.006845334182216334,-0.00040075588304233634,0.051969293490145674
6250,8.75,-0.0926631586170572,0.013430686632823097,0.018697833345171944,0.005617912523746327,0.05083530179820883,-0.06787534020347152,-0.007362531344298873,0.006830667334391194,-0.00039918761256529933,0.05160328949126125
6250,9.0,-0.09756712604998086,0.013516771219599377,0.01861265870030593,0.005601639920875812,0.0505157214305072,-0.07141143259758564,-0.007535547065444348,0.006804369171689473,-0.0003975562622500206,0.05127870895430675
6250,9.25,-0.10272233494870164,0.013592533943366902,0.01846427433911657,0.005588913007116503,0.05023310542360093,-0.07512356882772053,-0.007765707906209229,0.006733117875377559,-0.0003953331534063409,0.050991371489786275
6250,9.5,-0.10760714999498333,0.013683042065430584,0.01834681159016327,0.005576470323823912,0.049953179434091055,-0.07863310427352843,-0.00803368402402782,0.006673528455046096,-0.0003919195398580655,0.05070630271458043
6500,6.5,-0.06999041598491118,0.010757604669755949,0.016109057777669022,0.0059307051447134995,0.05136079213413325,-0.051572328209147145,-0.006016758520495102,0.005297374788796105,-0.0002810787726446051,0.05208215205650646
6500,6.75,-0.06867057667995624,0.010842358074050651,0.016168134203439877,0.005904005987325434,0.05105823276799981,-0.05058980115768463,-0.006039467627886097,0.005353117727899814,-0.00028513291472620494,0.05177890242481453
6500,7.0,-0.068055987392583,0.010964518472825091,0.01614133208110502,0.005881159947392689,0.050787958631296704,-0.050119855423353954,-0.0060717376985195415,0.005360812396325798,-0.0002868881679205515,0.051506471020886124
6500,7.25,-0.06803204709490984,0.01112582540721263,0.01604331649680546,0.0058678314023765665,0.050546399938191655,-0.050084133972092104,-0.006102172091885905,0.0053314240668598245,-0.0002799993120703448,0.05126130368151394
6500,7.5,-0.06861611277532376,0.011254120039041027,0.01605313874640757,0.005838217912661037,0.05012225420212957,-0.050494428920288215,-0.00611298923202952,0.00537155550835422,-0.00028211613168593885,0.05083289597948237
6500,7.75,-0.06939724856190566,0.01133258560889061,0.01604393759004097,0.005806429676809444,0.04969348944688079,-0.05104851010135292,-0.006111374575581863,0.00539967236215233,-0.00028486335844490895,0.05040005221107435
6500,8.0,-0.07011093746898212,0.011447040099696437,0.015960216844860042,0.005782744572528031,0.049321058832354936,-0.05155518070162657,-0.006115978044874737,0.005386091233290813,-0.00028225247150004407,0.050022680682552334
6500,8.25,-0.07159472992996285,0.011591907532064738,0.01592783900994732,0.0057516359825697805,0.04885244643723041,-0.05262348351428159,-0.006152857276752854,0.005407462997752077,-0.0002812585620048935,0.04954841584989822
6500,8.5,-0.07393572825272088,0.011727755370081638,0.015896098184988716,0.005721250319162152,0.04838913991206795,-0.05431802946499431,-0.006211591616484213,0.005426415020991726,-0.0002823749284743826,0.04907969517832811
6500,8.75,-0.07705717941901469,0.011842513559308543,0.0158346020902016,0.005697190235601113,0.047972842458037235,-0.05657869166635976,-0.006293383572547384,0.0054247879493871665,-0.0002814695848911697,0.04865759798718727
6500,9.0,-0.0808369558780413,0.01193431343157414,0.015751015604230645,0.005677830608640022,0.04759530398700207,-0.05931673191233244,-0.006403431389962577,0.005406387847230576,-0.0002798812964428521,0.04827433551176341
6500,9.25,-0.08511084333402863,0.012003039197601595,0.015646007295330833,0.005661581662096182,0.04725505114226536,-0.062410177047858895,-0.006556070820060711,0.005368557082469749,-0.0002783539325648121,0.04792852001538961
6500,9.5,-0.089685884640339,0.012038851421309005,0.015533580608199316,0.005648226731970851,0.046948038633438216,-0.0657180555639485,-0.006756508015726581,0.005317640463665896,-0.0002768519476887832,0.04761616574354832
6750,6.5,-0.0667394355695734,0.009448260382853846,0.013396777426841311,0.005980661176927526,0.048339494620364576,-0.049260006726775885,-0.005321728959458483,0.003978254280873728,-0.00016886410771377314,0.04897685883350533
6750,6.75,-0.06431177909720986,0.009594891831596897,0.013465541518222324,0.005955346337202627,0.048078998988756894,-0.047462125374600816,-0.0053597835243266445,0.004036764945411164,-0.00017372544341043294,0.04871574871065576
6750,7.0,-0.06260106843402014,0.009713742016472793,0.013536584037453281,0.005935556496439176,0.047823635737486825,-0.04618696720034876,-0.005378151343343518,0.00409820195220334,-0.00017465157624485528,0.04845967891751002
6750,7.25,-0.061700408302591825,0.009815687155729336,0.013563970802863423,0.005913926048847884,0.047565988173275286,-0.0455031984866352,-0.005372375215458192,0.004134449849551913,-0.00017824086501860847,0.04820072505417272
6750,7.5,-0.061435022204577194,0.009910245168128995,0.013551332978266828,0.005893911986994738,0.04730726962539933,-0.045286150424907134,-0.005386064544616431,0.004149054239590555,-0.00018059832569150558,0.04793946995970799
6750,7.75,-0.06168222805274581,0.010057463832225721,0.013437449039251703,0.005885003395903254,0.04708506019984071,-0.04544759698125489,-0.005401617870525399,0.004108935572617156,-0.00017445464584397996,0.04771366270026789
6750,8.0,-0.061929255690373,0.010162977534768913,0.013414799473146388,0.005863222576479643,0.0467339402803475,-0.045611519795265565,-0.005363501353173206,0.004127005162686714,-0.0001732875525704003,0.047358209330049306
6750,8.25,-0.06232424892496624,0.010242219044627632,0.013395946138857084,0.005834639131862218,0.04632847404084117,-0.045886023807895526,-0.005321826710712685,0.004148857969028086,-0.00017559937301570017,0.04694842520308384
6750,8.5,-0.06345077903701934,0.010345221693711437,0.013286709106985484,0.005811286653781167,0.04593863972475987,-0.046695480561879776,-0.0053382316351786585,0.004119219947774866,-0.00017453242120524237,0.046553433768814045
6750,8.75,-0.06528492229978156,0.010468509390392455,0.013215435064374503,0.005789420279576518,0.04551217933521201,-0.04802441821114911,-0.005367292362613796,0.004115646627333547,-0.00017081255293049935,0.04612064636314983
6750,9.0,-0.06778628230492245,0.010563112606135405,0.013142709214122306,0.005763747510663109,0.04507117546101114,-0.04984020198721595,-0.0054226546766500405,0.004107742212610788,-0.0001708988796380595,0.04567335970265418
6750,9.25,-0.0709338907266499,0.010626711394593258,0.013048495412391503,0.005743899445398881,0.04467480278431424,-0.05212627483648191,-0.005507965841914597,0.004083332110020876,-0.00016950128476622695,0.0452707583323928
6750,9.5,-0.0746103660636166,0.010659572573892717,0.012927238985284362,0.005727903002892276,0.04431661131371101,-0.054795977322065426,-0.005637128968963623,0.004035244124352744,-0.00016822548185047026,0.04490648674214981
7000,6.5,-0.06505984978486623,0.00826235505770967,0.010962164383201412,0.006026968862940407,0.0453904592750618,-0.048108886996907074,-0.004634337422494639,0.0027978374713697463,-6.732976141421432e-05,0.04594578730068832
7000,6.75,-0.06148374337352891,0.008441338896858497,0.011035712917262686,0.006005504370023118,0.04518753024180455,-0.04546111306849099,-0.00469974620558844,0.0028550140524714607,-7.04489930498653e-05,0.04574438464351971
7000,7.0,-0.05892668481238417,0.008599568368722998,0.01106459750076283,0.005996176284718047,0.045063674636729445,-0.043554073950005545,-0.004751826066062392,0.0028853306048119975,-6.633874448169763e-05,0.04562034118058733
7000,7.25,-0.057143042649471454,0.008722318365549597,0.011130966861706781,0.005974547460681379,0.044843647996479774,-0.042217605091302346,-0.0047587241709479144,0.0029398593513789706,-7.125324538748146e-05,0.04540041611937795
7000,7.5,-0.056011085913851844,0.008845952689462422,0.011171124354461881,0.005956687161308594,0.04463011364384073,-0.04136014995252424,-0.00473449787820357,0.002982078083661577,-7.460941114345587e-05,0.04518509563714446
7000,7.75,-0.05559822070884479,0.008945365836339647,0.01117042313540395,0.005938759234858537,0.044400899203026256,-0.04102932812029536,-0.004717145123827038,0.003001389805376675,-7.717741353729934e-05,0.044954149444826896
7000,8.0,-0.05560736485185913,0.00903823547583471,0.011108387529368713,0.005922857775352952,0.044163509518973854,-0.04101689862415725,-0.004704269838015307,0.002986947817554153,-7.877239259101998e-05,0.0447147306678346
7000,8.25,-0.05555611192468035,0.009139368796041936,0.011018958926932498,0.005911917320595705,0.04392508896499692,-0.04096164033851579,-0.004661075872000708,0.0029601526588010074,-7.534733862257781e-05,0.044472209241320115
7000,8.5,-0.05574685264768675,0.009240020065497845,0.01096953351552088,0.005897421954578874,0.04361085904925943,-0.0410867371003647,-0.004617277548589982,0.0029615309093316,-7.156866202251422e-05,0.044153178331313825
7000,8.75,-0.056589391770295094,0.009307174208224467,0.010923816893772198,0.00587259559469544,0.04320669854965331,-0.0416904532182798,-0.004568490585270979,0.002967866140139108,-7.275298471398628e-05,0.04374395287706534
7000,9.0,-0.058037562673249,0.009385901964584775,0.010754778816377097,0.00585227003220723,0.04283285227570133,-0.04273850657322953,-0.004576769557722571,0.002900382293304915,-7.236647397235174e-05,0.04336463970814464
7000,9.25,-0.060088612536745245,0.009457743347788039,0.010661907749970112,0.005834507729517213,0.04242380945626678,-0.04423019039474241,-0.004607671636897237,0.0028824811310315113,-6.741536746801557e-05,0.042948402402863906
7000,9.5,-0.06269802357283538,0.009487176055088753,0.010547849836399337,0.005813914930101305,0.042010218505396324,-0.046129622124659875,-0.00467187540104419,0.0028450768551522287,-6.67686493045494e-05,0.04252814011611861
7250,6.5,-0.06474397522978848,0.007211799816516873,0.008650830121197828,0.006095748276941038,0.04270298443190512,-0.0479582051302998,-0.004011294114746988,0.0016605731606063046,4.123207266815143e-05,0.04317863892634932
7250,6.75,-0.059816268426999386,0.007405082469922775,0.008762723879186751,0.006064751261426693,0.04247710732427379,-0.04431593149739399,-0.004083779031752499,0.0017389705275405731,3.084307522271956e-05,0.04295620230978159
7250,7.0,-0.05623631925203654,0.007577404380320729,0.008847634600158472,0.006042128598224394,0.04230920576966213,-0.041651157798547445,-0.004137655996260037,0.0017998973604136381,2.4712181868835614e-05,0.04279022124653409
