Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,6.5,-3.831282083541506,-4.311211369048131,0.47992928550662484,-6.7640236086467915,-6.915368500077783,0.15134489143099117,-6.834251694704424,-6.897563836330036,0.06331214162561238,-6.482921108418214,-6.602868954072878,0.11994784565466432,-5.86243798611612,-5.8909458613545524,0.028507875238432234
5000,6.75,-3.7955760875552933,-4.277317141823396,0.48174105426810243,-6.765488071338371,-6.916361821194542,0.15087374985617075,-6.838617375837334,-6.901968047270103,0.06335067143276873,-6.487460368950941,-6.607432929187166,0.11997256023622427,-5.8661500907381345,-5.894653822971698,0.028503732233563284
5000,7.0,-3.757463550067257,-4.2410930752027305,0.4836295251354734,-6.766539345708914,-6.916910118405461,0.1503707726965473,-6.84252122344996,-6.905907548684272,0.06338632523431187,-6.491499844868962,-6.611490737896521,0.11999089302755905,-5.869459695234891,-5.897959758070332,0.028500062835441042
5000,7.25,-3.7196628455296654,-4.205039732069675,0.4853768865400099,-6.76726829366304,-6.917115586293754,0.14984729263071372,-6.8461005739983705,-6.909519025339161,0.06341845134079094,-6.4951768106979095,-6.615182287488526,0.12000547679061668,-5.8724764648728005,-5.9009731654615685,0.028496700588767965
5000,7.5,-3.6828618199972034,-4.169830649282311,0.4869688292851073,-6.767650964056688,-6.916954805278092,0.1493038412214034,-6.849439048586092,-6.912885406477486,0.06344635789139375,-6.498513629655449,-6.618530840925025,0.12001721126957676,-5.87521884385291,-5.903712505403895,0.02849366155098565
5000,7.75,-3.6469964549301217,-4.135431996267798,0.48843554133767597,-6.767688124447428,-6.916429958231003,0.14874183378357486,-6.852799755090508,-6.916268676783943,0.06346892169343477,-6.501698664949274,-6.621726653317836,0.12002798836856243,-5.877835932315946,-5.906326701787435,0.028490769471488875
5000,8.0,-3.61182444725112,-4.101648462967216,0.4898240157160956,-6.767446169316624,-6.915601460803558,0.1481552914869333,-6.856419621494091,-6.919907050592794,0.06348742909870353,-6.504912653422185,-6.624952346617892,0.12003969319570729,-5.880480864187781,-5.908968583844107,0.028487719656325794
5000,8.25,-3.5768705842281285,-4.068043188600864,0.4911726043727356,-6.766735127894005,-6.914276386072633,0.1475412581786273,-6.860103336122549,-6.923605493599837,0.06350215747728782,-6.508047182296597,-6.628099025054166,0.12005184275756875,-5.883051678424355,-5.911536494773927,0.028484816349571673
5000,8.5,-3.5420817283816355,-4.034550825465423,0.49246909708378794,-6.765700360968733,-6.91259770269653,0.14689734172779723,-6.863953667908579,-6.927469387743958,0.06351571983537951,-6.511315108322496,-6.631381933606146,0.12006682528365076,-5.8857237408760845,-5.914205838860138,0.028482097984053212
5000,8.75,-3.5074761874915126,-4.001187238319943,0.4937110508284306,-6.764357605796249,-6.910587769959271,0.14623016416302193,-6.867962455568321,-6.931492012604714,0.06352955703639296,-6.514765736739928,-6.63485016703007,0.1200844302901416,-5.8885383755509935,-5.917016927151547,0.02847855160055346
5000,9.0,-3.473341542359403,-3.9682179932334023,0.4948764508739991,-6.762688019492398,-6.90823385399149,0.1455458344990923,-6.87209862664751,-6.935641453716162,0.06354282706865177,-6.518417728920188,-6.638522385577339,0.12010465665715131,-5.891508293570716,-5.919982884639932,0.028474591069215904
5000,9.25,-3.4401805276096447,-3.9360995765004887,0.49591904889084404,-6.760703252351696,-6.905547929372304,0.14484467702060755,-6.876381988408539,-6.939936308384624,0.06355431997608463,-6.522313645596423,-6.642441901295541,0.12012825569911811,-5.894664579187282,-5.923135280940119,0.028470701752837613
5000,9.5,-3.4086138729071607,-3.905420069152413,0.49680619624525235,-6.758314631477706,-6.902448346299803,0.1441337148220967,-6.880729624108689,-6.9442923885370575,0.06356276442836872,-6.52639221320635,-6.6465482868038315,0.1201560735974816,-5.897945752315014,-5.926412255408938,0.028466503093923734
5250,6.5,-4.37473846907243,-4.8443200244451035,0.4695815553726739,-7.076234545886102,-7.232434738403583,0.15620019251748118,-7.062673121492541,-7.128335354061317,0.06566223256877635,-6.671719931917661,-6.791770690550752,0.12005075863309145,-6.019666302573494,-6.048011034839906,0.028344732266411654
