Teff,logg,u,g,r,i,z
5000,6.5,-0.00622275274544748,0.025145775450543084,0.0003850812886199151,0.001638243837025044,-0.010162836761374194
5000,6.75,-0.006836870466742084,0.025609134331720185,0.00038068193590845567,0.0016621436504777876,-0.010184813519764191
5000,7.0,-0.007519296734603387,0.026109227998716733,0.00037525015279271656,0.0016874910145361355,-0.010198270099699869
5000,7.25,-0.008186256494646216,0.026631642234683284,0.0003686228039008199,0.0017120785054345333,-0.010207630172793358
5000,7.5,-0.008780299599553842,0.027173504019913253,0.00036111393846383066,0.001735991342009413,-0.010215035334603328
5000,7.75,-0.009321026623386075,0.027734701041651988,0.0003531397984986029,0.0017585656693235308,-0.010221590166040073
5000,8.0,-0.009816239975819485,0.02832344178235857,0.00034432700341113787,0.0017801891337398956,-0.010229403122199443
5000,8.25,-0.010345036047880285,0.028942926310417505,0.0003346521881653075,0.001799428368439493,-0.010239127862817554
5000,8.5,-0.010878821846834086,0.0295968955207897,0.0003245231457462694,0.001816605347269018,-0.010252543589839291
5000,8.75,-0.011395189471727463,0.03028146797204201,0.00031558060201319904,0.0018321205060516377,-0.01026895026506125
5000,9.0,-0.011886962436690851,0.03098958502455673,0.00030952340294021496,0.0018459949113669438,-0.010290639824518166
5000,9.25,-0.012343729103019285,0.03171964738414346,0.0003070154423632232,0.0018624256058394906,-0.010317415659852003
5000,9.5,-0.012771397807121332,0.032465076422564465,0.0003069552629497707,0.0018839265981505093,-0.010350237721436173
5250,6.5,-0.0036284961972228302,0.0200321691343035,-6.2588255516971e-05,0.0037475638605073414,-0.009785156693713049
5250,6.75,-0.003857605185839219,0.02038627718330588,-6.758486342306469e-05,0.0037768078693822815,-0.0098334799506965
5250,7.0,-0.0042453580340655606,0.020801073696326,-6.977009380193522e-05,0.003797886489795843,-0.009863257408575521
5250,7.25,-0.004772334349656404,0.021251656185711454,-7.4364534341953e-05,0.003823815997783697,-0.009883524484298079
5250,7.5,-0.00532254667343679,0.021724474241807457,-8.08657310358285e-05,0.0038508935447971737,-0.009896209322768357
5250,7.75,-0.00588994891126049,0.0222124171034217,-8.818529905596506e-05,0.003877160288780601,-0.009905582333860963
5250,8.0,-0.006419015866054423,0.022713121450049556,-9.567613918903817e-05,0.003901160545655813,-0.009912837117934004
5250,8.25,-0.006901913323751785,0.023228451509449854,-0.00010412749026400547,0.003921754813859479,-0.009921936441550372
5250,8.5,-0.007332468771682699,0.023757816825320077,-0.00011286649432307172,0.003938805602107465,-0.009933043763698635
5250,8.75,-0.007703693511842857,0.024302762778638964,-0.00012224672078531285,0.0039523584712490845,-0.009948000256546408
5250,9.0,-0.008041715479546241,0.02486448578778422,-0.00013007840512457847,0.003962944589201101,-0.00996734439235425
5250,9.25,-0.008377071585520923,0.02543844152398833,-0.00013459035031715416,0.00396955535328658,-0.00999119385954117
5250,9.5,-0.008666528685655095,0.026023341407491074,-0.00013490182674047446,0.003976019799445396,-0.01001972957229924
5500,6.5,-0.0024523256261055337,0.015779231510375524,-0.00044741169806883363,0.005636069817555267,-0.009435586693950171
5500,6.75,-0.0024462571954124712,0.016104617722586312,-0.00044579986246517933,0.005649972691525562,-0.00946548709693218
5500,7.0,-0.00244761591186915,0.016368844411765338,-0.0004443159569262889,0.005660924866997874,-0.009492719054978949
5500,7.25,-0.002640621258169773,0.016710995018542008,-0.0004486717117515582,0.005678488736482024,-0.009510714682644306
5500,7.5,-0.0029777298504498617,0.01711588474192638,-0.00046183082909578843,0.005733011747789618,-0.009553135515734112
5500,7.75,-0.0033641439693674613,0.017542888111663046,-0.0004686001369798021,0.005768692980886669,-0.009573860337599882
5500,8.0,-0.0037984955677607957,0.01798516985049048,-0.0004761264777677354,0.00579807052428194,-0.00958503095703378
5500,8.25,-0.004251921123845648,0.01844162540726657,-0.0004844601566702522,0.005824707818941732,-0.009593279623732798
5500,8.5,-0.004706250425158487,0.018911119071979954,-0.0004929052725657357,0.005847994878909191,-0.009601515719143805
5500,8.75,-0.0051248972410604665,0.01939223299226356,-0.000502292435299978,0.005864576151434875,-0.009611284612770277
5500,9.0,-0.005517160453205605,0.019883555591651003,-0.0005112534046709527,0.005875370683295245,-0.00962489728253857
5500,9.25,-0.005836648617577822,0.02038251135916269,-0.000519009438963991,0.005879831756661957,-0.009643406039860025
5500,9.5,-0.006117874982273008,0.02088297338050893,-0.0005240611899246517,0.005878683651683758,-0.009666718460959345
5750,6.5,-0.0020307942243924515,0.012083028184399325,-0.0007875789635427566,0.0073506917152244,-0.009121756412188375
5750,6.75,-0.0018790959975625299,0.012391460720731828,-0.0007847511543950247,0.007364307802376402,-0.00914549575587742
5750,7.0,-0.0017714766919141312,0.012674770877495689,-0.000783647606386495,0.007380463897099787,-0.009171255255530752
5750,7.25,-0.0016740781042479114,0.012911270610402426,-0.0007820848004129743,0.007390598102560375,-0.009192650001697444
5750,7.5,-0.0016893223422620451,0.013220132377444571,-0.0007837739061145044,0.007408278362330378,-0.009212897346341009
5750,7.75,-0.001827887474998846,0.013527213965410567,-0.0007861705540150865,0.007434287023411201,-0.009223810055054571
5750,8.0,-0.0020597944969402704,0.013892951092955741,-0.0008010672368072846,0.007476207645023436,-0.009241935239959531
5750,8.25,-0.0023393341988118266,0.014287986402770514,-0.0008145444055784878,0.0075274102489082395,-0.00926390772663055
5750,8.5,-0.002675336617130597,0.014699236678090699,-0.0008239797908942137,0.0075603564951478575,-0.009272806799021538
5750,8.75,-0.003033834014850356,0.01512769965225047,-0.0008348376179334593,0.007584534898114725,-0.009278849733703964
