Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,9.0,-3.440460192599428,-3.9263270687468186,0.48586687614739077,-6.756914850847423,-6.901380635486248,0.1444657846388253,-6.860603300971352,-6.933705451189443,0.07310215021809086,-6.58165178139642,-6.708304216561924,0.12665243516550362,-5.843489796969315,-5.871249747449589,0.027759950480273687
5000,9.25,-3.4073871401771285,-3.894261302339423,0.4868741621622945,-6.754908983391644,-6.898642228792433,0.1437332454007887,-6.864928005454221,-6.93800079782476,0.07307279237053876,-6.585582351166309,-6.7122271792997985,0.12664482813348954,-5.8469132839115225,-5.87467112894355,0.027757845032027717
5000,9.5,-3.3758825610658967,-3.8636152095086302,0.48773264844273356,-6.7525022641837324,-6.895493260349173,0.14299099616544098,-6.8693194804902475,-6.942355389085694,0.07303590859544684,-6.589700161325208,-6.716337308320799,0.12663714699559137,-5.850500985472614,-5.878256746986121,0.027755761513507338
5250,6.5,-4.3382044362301535,-4.799815016656353,0.46161058042619985,-7.070610854550214,-7.225232200539239,0.15462134598902466,-7.05048347166618,-7.124491523732221,0.07400805206604133,-6.735573100471896,-6.861876721830935,0.12630362135903894,-5.973268734629755,-6.000907963865952,0.027639229236196883
5250,6.75,-4.312945329756435,-4.775970285882682,0.4630249561262474,-7.073557938567799,-7.228067083203548,0.1545091446357496,-7.056463283953779,-7.13052951685988,0.0740662329061017,-6.741845751719357,-6.868140284031572,0.12629453231221532,-5.978864949868342,-6.006500199054191,0.02763524918584892
5250,7.0,-4.282420640083576,-4.747083218972865,0.4646625788892891,-7.076181277286999,-7.230508023304882,0.1543267460178832,-7.062109185343534,-7.136255039803629,0.07414585446009525,-6.747923799032325,-6.87421030398448,0.1262865049521551,-5.9842454214399154,-6.011877887280814,0.027632465840898845
5250,7.25,-4.24773471532734,-4.714257255605695,0.4665225402783548,-7.078668619310687,-7.232730541617212,0.15406192230652493,-7.067377444180007,-7.141649557710753,0.07427211353074625,-6.753458080951116,-6.8797364023905025,0.12627832143938633,-5.989102996890477,-6.016732530417858,0.02762953352738151
5250,7.5,-4.21214116872115,-4.680493021517467,0.4683518527963173,-7.080870280370949,-7.234573967575528,0.1537036872045796,-7.0722589185272255,-7.146684906780752,0.07442598825352675,-6.758453346682455,-6.88472403021489,0.12627068353243587,-5.993460351380502,-6.0210871301078015,0.02762677872729924
5250,7.75,-4.177240568147109,-4.647259574682426,0.4700190065353169,-7.082639068533432,-7.23590420722946,0.1532651386960282,-7.076805868604897,-7.151371457654069,0.07456558904917188,-6.7629205141114745,-6.88918349567054,0.12626298155906568,-5.997343443530131,-6.0249678181327475,0.027624374602616797
5250,8.0,-4.143683292901727,-4.615188704789521,0.4715054118877937,-7.083908836200347,-7.236681824069475,0.15277298786912752,-7.081194069713131,-7.155842228277592,0.07464815856446094,-6.767010475861532,-6.893267019670635,0.12625654380910234,-6.000888072328603,-6.028509788000115,0.027621715671511282
5250,8.25,-4.111710606467486,-4.584512769683943,0.47280216321645696,-7.084712628208358,-7.236955244169067,0.15224261596070932,-7.085541539252361,-7.160213687518645,0.07467214826628421,-6.770850771232048,-6.897100111178926,0.12624933994687737,-6.004215200457498,-6.03183449809374,0.02761929763624238
5250,8.5,-4.081266567403176,-4.555210481339614,0.47394391393643787,-7.0850559343210655,-7.236750690615299,0.15169475629423346,-7.089897147629458,-7.164567956427316,0.07467080879785826,-6.7745638198041185,-6.900806541269684,0.12624272146556592,-6.007442335823189,-6.035059457367428,0.0276171215442389
