Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,6.5,-3.748883097152852,-4.461774088671728,0.7128909915188757,-6.561790989715906,-6.730952687332046,0.16916169761613986,-6.687936530658078,-6.79911617707339,0.1111796464153123,-6.445153232199541,-6.541278892242975,0.09612566004343392,-5.806414145243927,-5.876651365950114,0.07023722070618632
5000,6.75,-3.716016042935596,-4.432306211718302,0.7162901687827059,-6.5634186808489225,-6.732361678235005,0.16894299738608254,-6.6923089102353295,-6.8036111814030065,0.11130227116767699,-6.449722035020695,-6.545848165670307,0.09612613064961195,-5.810443686025579,-5.880689932621049,0.0702462465954703
5000,7.0,-3.6808060884823774,-4.400647405385932,0.7198413169035547,-6.5646560782349574,-6.733339168673687,0.16868309043872998,-6.696291833094765,-6.807764468520897,0.11147263542613217,-6.453784325568904,-6.549911120952384,0.0961267953834799,-5.814002669140642,-5.884256912305201,0.07025424316455897
5000,7.25,-3.6456577726435704,-4.368811334504574,0.7231535618610039,-6.565559872813285,-6.733929558032319,0.16836968521903373,-6.700049974794442,-6.811708001050196,0.11165802625575338,-6.457479662618692,-6.55360743693727,0.09612777431857822,-5.817225849381359,-5.887487229169103,0.07026137978774472
5000,7.5,-3.6112744224766757,-4.337420950503162,0.7261465280264865,-6.566105833778693,-6.734060192422195,0.1679543586435024,-6.703666697407371,-6.81545735619142,0.1117906587840487,-6.46083142271587,-6.556960266351318,0.09612884363544794,-5.820141652351509,-5.89040935297502,0.07026770062351062
5000,7.75,-3.577622994366461,-4.306510863996063,0.7288878696296024,-6.56630316068296,-6.733768302668999,0.1674651419860389,-6.707324115465713,-6.819162610008416,0.11183849454270245,-6.464030744019862,-6.560160373466594,0.09612962944673242,-5.822923620126293,-5.893197325727542,0.07027370560124879
5000,8.0,-3.544546855648157,-4.2760068005603,0.7314599449121424,-6.5662402159380555,-6.733169650992348,0.1669294350542927,-6.711152902959366,-6.8230012575663075,0.11184835460694131,-6.467259561595807,-6.563390216977215,0.0961306553814083,-5.825740834350359,-5.896020216687315,0.07027938233695608
5000,8.25,-3.511608940119306,-4.245576905662723,0.7339679655434175,-6.565726228263117,-6.732089833788827,0.16636360552571006,-6.714957606535421,-6.826784517168473,0.11182691063305228,-6.470409749710679,-6.566541002584724,0.096131252874045,-5.8284901484003875,-5.898775352977125,0.07028520457673793
5000,8.5,-3.4787330757846036,-4.215116519393042,0.7363834436084389,-6.564895003785292,-6.730668709511686,0.16577370572639438,-6.718880977711358,-6.830673219649153,0.11179224193779547,-6.473695445372371,-6.569827508359975,0.09613206298760346,-5.831364000123209,-5.901655825293862,0.0702918251706528
5000,8.75,-3.4459573119528564,-4.184643810979619,0.7386864990267625,-6.563752310949948,-6.728920319894339,0.16516800894439143,-6.722945438996884,-6.834696560444794,0.11175112144790944,-6.477167218118634,-6.5732995278635435,0.0961323097449096,-5.834408847573119,-5.904707397857106,0.07029855028398657
5000,9.0,-3.4135403102078037,-4.154378991152342,0.7408386809445382,-6.562277368094829,-6.726829842775764,0.16455247468093503,-6.727124695835645,-6.838829540653368,0.11170484481772291,-6.480844649047345,-6.576976604653428,0.0961319556060829,-5.8376443709943935,-5.907950004888882,0.0703056338944883
5000,9.25,-3.381906572994094,-4.12468568476088,0.7427791117667866,-6.560478486519873,-6.724408345707019,0.16392985918714587,-6.731436303029838,-6.843088995890707,0.11165269286086854,-6.484770015204276,-6.580900984731397,0.09613096952712041,-5.841108048863202,-5.9114214423828955,0.07031339351969379
5000,9.5,-3.3516143097708486,-4.096070561494617,0.7444562517237685,-6.55826302686069,-6.7215701431288295,0.16330711626813965,-6.735795298167737,-6.8473895548359955,0.1115942566682584,-6.488881984287254,-6.585012231199805,0.09613024691255134,-5.844739718099699,-5.9150614019892735,0.07032168388957416
5250,6.5,-4.275475369420082,-4.968450766945118,0.6929753975250357,-6.873372236893502,-7.046017805693861,0.17264556880035897,-6.919427969196793,-7.032053366143032,0.11262539694623896,-6.6342065288803305,-6.730458855640897,0.09625232676056683,-5.968348224232557,-6.038899407776107,0.07055118354355017
5250,6.75,-4.25251022324829,-4.948332176831588,0.6958219535832981,-6.876412669892353,-7.048980845229703,0.17256817533735003,-6.925373502397349,-7.038069313397852,0.11269581100050274,-6.6404703150613535,-6.736723141765033,0.09625282670367952,-5.973998702234969,-6.04455901532754,0.07056031309257094
5250,7.0,-4.224514702319521,-4.923622843234163,0.6991081409146425,-6.879132537666486,-7.051600103994009,0.1724675663275228,-6.9309748169819905,-7.043773101346531,0.11279828436454054,-6.646541704236377,-6.742794483868142,0.09625277963176515,-5.979443984666272,-6.050015823191362,0.07057183852509041
5250,7.25,-4.192636262210222,-4.895458491921467,0.702822229711245,-6.881707048726799,-7.054045945657563,0.1723388969307642,-6.936211106026317,-7.049160518962225,0.1129494129359081,-6.6520677798201575,-6.748321114009773,0.09625333418961546,-5.984357301164248,-6.054939486930653,0.07058218576640485
