Teff,logg,u,g,r,i,z,u_s,g_s,r_s,i_s,z_s
5000,6.5,-0.14465129315807346,0.015080025839029787,0.014138719887746731,0.004622196435562387,0.026494080002677833,-0.10516222986883861,-0.009698445522481336,0.005745356582000483,-0.0001830654657624109,0.026855330282582912
5000,6.75,-0.15070950466799005,0.015310105391005635,0.014127008645711925,0.0046142357366854014,0.02629179955465588,-0.10945431302187458,-0.009949582028465187,0.005753160164449156,-0.00018196679718229802,0.026649724567622712
5000,7.0,-0.15697485795023525,0.015553751552744188,0.014109148349881195,0.004610177771439794,0.026130207641564596,-0.11388837923783157,-0.01022839615070481,0.005753785041470394,-0.00018010892011588453,0.02648515665703144
5000,7.25,-0.16274504016886127,0.015805599705693396,0.01409065660006803,0.004607508830545726,0.02599502604777726,-0.1179708642059083,-0.010523886206684097,0.005750799376706084,-0.0001784572993486222,0.026347162725407713
5000,7.5,-0.16797419469645547,0.016066359093436233,0.0140727960528082,0.004606451899121566,0.02588082014948867,-0.12166594592412494,-0.010830855122186733,0.005744532121738644,-0.00017645456055248587,0.026230395373588067
5000,7.75,-0.17277862500422358,0.01633877988957977,0.014060112521136148,0.004605641976535679,0.025772247235259726,-0.1250568941620962,-0.011145157407476347,0.005738459846089228,-0.00017472068920199035,0.026119385909932902
5000,8.0,-0.17729535966606136,0.016629823163743396,0.014050913393731435,0.004604377066286247,0.025660503306003335,-0.12823797009018634,-0.011467597974974097,0.005732370934232733,-0.00017286566953700344,0.02600505002005349
5000,8.25,-0.18166852832074198,0.01694363169826829,0.01404632255740168,0.004602552424167072,0.025544867226809487,-0.1313153790241799,-0.011797482928436409,0.005727888272634374,-0.00017140426188433366,0.025887013027986683
5000,8.5,-0.18587856349369858,0.017284030657311433,0.014047241433978286,0.00459907942495974,0.025415426522165774,-0.13427576888017256,-0.012132482844940284,0.005727106400197357,-0.00016988606721923816,0.02575535661924988
5000,8.75,-0.18991342854223703,0.017646712541946385,0.014056009285475568,0.004594384703608512,0.02527055198368444,-0.13711178908065236,-0.012469392025053594,0.005732858343712621,-0.0001685880083499569,0.025607565904984142
5000,9.0,-0.19369206675645145,0.018027376242439885,0.014078724778769924,0.004587266421918201,0.02510524591259866,-0.13976578926739336,-0.012805553771972455,0.005750134926351791,-0.00016875072010336112,0.02543904041789702
5000,9.25,-0.19707233441787864,0.01842640268497675,0.014121432149202917,0.004578758993165621,0.024915072554414053,-0.1421406054564045,-0.01314037963149417,0.005783459029419902,-0.00016905241884046518,0.025245783526216314
5000,9.5,-0.19995666776440402,0.018840758721378137,0.014187615360444994,0.004568562245733432,0.02469999839239634,-0.1441689699529114,-0.01346954828874658,0.005834834433120051,-0.0001689414418919455,0.025027464662510823
5250,6.5,-0.1095336163862477,0.011900936927730754,0.009762186733091482,0.004959405507715786,0.022924572514220642,-0.08008150481860454,-0.007825590171567143,0.0033991801298789426,2.915442028594839e-05,0.023136964543759575
5250,6.75,-0.11492385619888168,0.012089461596165307,0.009765265975293147,0.004946269396658209,0.022640778985550725,-0.0839367071253001,-0.007992570499332885,0.0034216768812207476,3.0601567743815394e-05,0.022848700344702877
5250,7.0,-0.12088432614624978,0.012301394162527401,0.009771518882509156,0.004933540746868914,0.022370744787163943,-0.08819323681622748,-0.008205215668603216,0.003444084509403922,3.0814591752914566e-05,0.022574591836900026
5250,7.25,-0.12747618168932462,0.012521603441303597,0.00975901906858212,0.004925849323022646,0.022150109129128737,-0.0928957497855265,-0.008451520995194528,0.003452187877655888,3.20272371645558e-05,0.022350030932138054
5250,7.5,-0.13387165219846864,0.012744378886598184,0.009737394315017411,0.004920808269076815,0.02196614297502819,-0.09745282885724649,-0.008721725956903015,0.003451427993585554,3.354236321584381e-05,0.022162463913090846
5250,7.75,-0.13967350982760607,0.01296803155986126,0.009714484672329604,0.0049182656940303104,0.021809798999555596,-0.10158407964677707,-0.009009091195924412,0.003445654789114627,3.536399472636731e-05,0.02200306886043535
5250,8.0,-0.14482089018654776,0.013195286193710132,0.009697280299931776,0.0049163180044047294,0.021670149825414597,-0.10524485841536446,-0.009306947760187256,0.0034390745909966824,3.7729825347554424e-05,0.021860168853066853
5250,8.25,-0.14929984885428382,0.013431325681569461,0.00968559386280532,0.004913992539151479,0.021537613060367278,-0.10842764742163524,-0.009610947812227266,0.003431832468386631,3.862763251305523e-05,0.021724625125440156
5250,8.5,-0.15323301072454498,0.013679428954308293,0.009682837615258677,0.004910964633427994,0.021400421462658414,-0.1112202688334527,-0.009915443697472881,0.0034269487311284763,3.9654086364748764e-05,0.02158463064087357
5250,8.75,-0.15670772145826461,0.013942127352962075,0.009687571394465522,0.004906373577906464,0.02125158154764506,-0.1136833949091347,-0.01021899289968431,0.003425333004379638,4.0829775301176596e-05,0.021433048049171788
5250,9.0,-0.1597749611781829,0.014221533864674285,0.00970284254496434,0.004899838678305457,0.021086481889824427,-0.11585467151937578,-0.010519599569647653,0.0034311399633537576,4.102471878653091e-05,0.02126502047285328
5250,9.25,-0.16243978783440127,0.014516615293025836,0.009731266610348399,0.004891080213408117,0.020901130851285643,-0.11774096327683026,-0.010813396207854709,0.0034478161074567026,4.0642894550302344e-05,0.02107683216700451
5250,9.5,-0.1646168164682109,0.01482710467887216,0.009778005110231192,0.004880149119180999,0.020694618111384955,-0.11928281377993599,-0.011098701263858146,0.0034797749404020806,3.95165920892282e-05,0.020867196163134594
5500,6.5,-0.08378327314136769,0.009271984997571536,0.005887417794177452,0.005274920299846997,0.019832143136799374,-0.06150702451082424,-0.00627752963477235,0.0013029461347606741,0.00022372526069602827,0.019908303582234055
5500,6.75,-0.08814407911390276,0.009460105199959656,0.005931162261408218,0.005257444275958534,0.019496747416027915,-0.06465972254562757,-0.006414284914189494,0.00134942193600196,0.00022228262240275853,0.019568294952648557
5500,7.0,-0.09195905948459782,0.009611942046440447,0.005982138347462751,0.005242133461475618,0.01920326761694824,-0.06740672288506744,-0.006527381746515459,0.0013983338481224905,0.00022115695145785708,0.019271490660713653
5500,7.25,-0.09681311193890352,0.00977717076971274,0.0059264440999804435,0.00523014446201131,0.018956062183526967,-0.07090015373144354,-0.006706378678806857,0.001383564452595465,0.00022058594520046881,0.01901973418624081
5500,7.5,-0.10291571114219167,0.009980296056983917,0.005885045900804187,0.005228424569565959,0.01874863192231402,-0.07528522203243782,-0.00691623738556757,0.0013767279391281306,0.00022611063705113565,0.018807175616625926
5500,7.75,-0.10931098803020944,0.01018313295064388,0.005861943604770659,0.005223995881571852,0.018519729031446275,-0.07987379652370308,-0.007153010933979687,0.0013789093779195127,0.00022883010689511707,0.018573517371823556
5500,8.0,-0.11542078999901761,0.010380778185613337,0.005835479446265168,0.005219986582293501,0.01831747397394068,-0.0842514037048403,-0.007414931598699326,0.0013748166649882876,0.00023075076515866044,0.018366993596213632
5500,8.25,-0.12099477152821692,0.01057595423293023,0.005810849557224884,0.005216987070728152,0.018142482682062422,-0.08824012534194381,-0.0076973300946932,0.001366669671657661,0.00023273073337648498,0.018188254492827127
5500,8.5,-0.12585388126967345,0.010773484960960644,0.005794879355665472,0.005214565643417046,0.017982096233968292,-0.09171375238922508,-0.007992638417270825,0.0013584447772281294,0.00023433609854350834,0.018024318422110497
5500,8.75,-0.13001283999428992,0.010978753273516162,0.005789200569374486,0.005211130060359892,0.017824992577363474,-0.094683797874346,-0.008292258085504045,0.0013511014551141898,0.00023541643183477845,0.01786400167901192
5500,9.0,-0.1334736191127064,0.011195826309911894,0.005798035973203497,0.0052058254322382425,0.017658554265533866,-0.09715467110990872,-0.008588537163731758,0.001349128369582786,0.00023584525686004554,0.017694408395669825
5500,9.25,-0.13626992709674468,0.011426053120686674,0.0058202806330101,0.005198217592695897,0.017478731821945814,-0.09915009088374305,-0.008876396409320364,0.0013546051733968056,0.00023512983998230652,0.017511557208631956
5500,9.5,-0.13844458669272086,0.01166830332130786,0.0058583556735705145,0.005187832019025507,0.017278584470062697,-0.10070192323356153,-0.009149469844608404,0.0013716316770242543,0.0002338550758764768,0.01730836700703975
5750,6.5,-0.06618028865623415,0.006992945326043554,0.0023329238888649684,0.005575660283259509,0.01724710093227344,-0.0487265441934035,-0.004947720499885122,-0.0006405164581089196,0.0004066764184535998,0.01719930460571817
5750,6.75,-0.06890324988052043,0.0071828008159045,0.0023889834712811364,0.005557115477493824,0.016867824647604834,-0.05070521415811413,-0.005065352269216561,-0.0005862331231973883,0.0004040652511356768,0.016814884287516207
