Teff,logg,u,u_s,u-u_s,g,g_s,g-g_s,r,r_s,r-r_s,i,i_s,i-i_s,z,z_s,z-z_s
5000,6.5,-3.8756162601016975,-4.588675920745537,0.7130596606438395,-6.695626142549848,-6.864487708900008,0.16886156635015936,-6.835267700238319,-6.94599978600823,0.11073208576991078,-6.626219013219963,-6.72208708845627,0.09586807523630725,-5.970890964825497,-6.042467423845338,0.07157645901984111
5000,6.75,-3.842750059672859,-4.559209954431477,0.7164598947586178,-6.697263205012561,-6.865906675116534,0.16864347010397296,-6.839638545344027,-6.950493776449807,0.11085523110578066,-6.630786360807512,-6.7266548401527295,0.09586847934521714,-5.974926565999045,-6.046512038243087,0.07158547224404188
5000,7.0,-3.8075410364621476,-4.527553173114285,0.7200121366521373,-6.69851065290927,-6.8668951089067605,0.16838445599749008,-6.843619909441287,-6.954646232802116,0.11102632336082863,-6.6348471511491205,-6.730716231858089,0.09586908070896882,-5.978490858972254,-6.0500843193062686,0.07159346033401448
5000,7.25,-3.772393578955967,-4.495718994022081,0.7233254150661139,-6.699424876416227,-6.867497052193869,0.16807217577764177,-6.8473769167953265,-6.958589469401183,0.11121255260585627,-6.638541015003359,-6.734411007272104,0.09586999226874582,-5.981718732521681,-6.053319324032149,0.07160059151046738
5000,7.5,-3.7380110140922405,-4.464330319833078,0.7263193057408373,-6.699981568885928,-6.867639773565326,0.16765820467939818,-6.850993289913042,-6.962339131839652,0.11134584192661023,-6.641891324755953,-6.737762322104441,0.09587099734848792,-5.984638632524906,-6.056245542883612,0.0716069103587067
5000,7.75,-3.7043603160275893,-4.433421799780454,0.7290614837528651,-6.700190013837926,-6.867360473140959,0.16717045930303343,-6.854651371586666,-6.966045399870758,0.11139402828409217,-6.6450892789411995,-6.740961002607953,0.0958717236667539,-5.9874245021049575,-6.0590374150746165,0.07161291296965899
5000,8.0,-3.671284862814428,-4.402919196160919,0.7316343333464914,-6.7001387609200265,-6.86677506493432,0.1666363040142933,-6.858481610921157,-6.969885754075339,0.11140414315418212,-6.648316718197492,-6.744189404444647,0.09587268624715506,-5.990245497203599,-6.061864080192159,0.07161858298855961
5000,8.25,-3.6383476287817125,-4.372490743538972,0.7341431147572592,-6.699637111224764,-6.865709188623821,0.1660720773990576,-6.862288289354833,-6.9736711544479135,0.1113828650930806,-6.651465642869571,-6.747338869355499,0.09587322648592789,-5.992998731588052,-6.064623127330684,0.07162439574263146
5000,8.5,-3.6054724435048193,-4.3420317650013125,0.7365593214964932,-6.698818915785516,-6.864302741491127,0.1654838257056106,-6.866213971566101,-6.977562320404488,0.11134834883838707,-6.654750092643493,-6.750624066664251,0.09587397402075837,-5.995876741993623,-6.067507762299979,0.07163102030635571
5000,8.75,-3.5726973438507414,-4.311560406967981,0.7388630631172397,-6.697689984468941,-6.862569772653547,0.16487978818460647,-6.870280996847928,-6.981588392015521,0.11130739516759292,-6.658220728235406,-6.754094899579073,0.0958741713436666,-5.9989259412794524,-6.070563685146293,0.07163774386684096
